gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,PreviousGrade,ExtracurricularActivities,LearningStyle,PersonalityType,MotivationLevel,ComputerUsage,InternetAccess,Friendships,PeerInfluence,ParentalEducation,ParentTeacherMeetings,PhysicalActivity,SleepDuration,AttitudeTowardsSubjects,BehavioralIssues,raisedhands,VisITedResources,AnnouncementsView,Discussion
F,saudi,UK,lowerlevel,G-06,C,English,S,Guardian,Yes,Bad,Under-7,H,E,Yes,Kinesthetic,Introvert,High,Medium,Yes,None,Neutral,PhD,Yes,Active,Insufficient,Negative,Yes,73,44,1,22
M,fr,Saudi Arabia,middlelevel,G-04,C,English,F,Father,No,Good,Under-7,L,E,Yes,Auditory,Extrovert,Medium,Medium,Yes,Many,Negative,HighSchool,No,Inactive,Adequate,Positive,No,19,100,5,3
F,cn,UK,middlelevel,G-05,E,Math,F,Father,No,Good,Under-7,H,C,Yes,Kinesthetic,Introvert,Medium,Medium,No,None,Positive,PhD,No,Moderate,Insufficient,Positive,Yes,12,47,0,36
M,cn,UK,highlevel,G-04,A,Math,S,Guardian,No,Good,Under-7,M,B,Yes,Visual,Extrovert,Low,Low,Yes,None,Negative,HighSchool,No,Inactive,Adequate,Positive,Yes,72,9,12,12
F,saudi,France,highlevel,G-04,A,Math,F,Father,No,Bad,Above-7,M,D,No,Auditory,Extrovert,Low,Medium,Yes,Some,Positive,HighSchool,Yes,Active,Insufficient,Positive,Yes,3,53,12,32
F,uk,France,middlelevel,G-04,C,History,F,Father,Yes,Bad,Above-7,L,B,No,Kinesthetic,Extrovert,Low,High,Yes,Some,Positive,Master,No,Inactive,Adequate,Positive,Yes,91,80,6,42
F,uk,UK,lowerlevel,G-04,B,History,F,Guardian,No,Good,Above-7,L,D,Yes,Visual,Introvert,Low,Low,Yes,Many,Positive,Master,No,Active,Insufficient,Neutral,Yes,99,64,19,24
M,fr,UK,middlelevel,G-05,C,Science,F,Guardian,Yes,Bad,Above-7,M,B,Yes,Kinesthetic,Introvert,Medium,Medium,Yes,Some,Positive,Master,No,Inactive,Insufficient,Neutral,Yes,87,52,0,26
F,cn,UK,lowerlevel,G-05,A,Science,F,Mother,Yes,Bad,Above-7,H,C,No,Visual,Extrovert,Medium,High,Yes,Some,Negative,PhD,No,Inactive,Adequate,Positive,No,75,30,17,46
M,fr,India,lowerlevel,G-04,C,History,F,Father,Yes,Good,Under-7,H,A,No,Visual,Extrovert,Medium,Low,No,Many,Negative,Master,No,Active,Insufficient,Negative,No,61,38,7,45
F,us,China,preschool,G-05,B,Math,S,Father,Yes,Good,Above-7,M,E,No,Visual,Introvert,Low,High,No,None,Negative,Master,Yes,Moderate,Insufficient,Neutral,Yes,76,75,4,7
M,saudi,India,highlevel,G-05,A,English,S,Guardian,Yes,Bad,Above-7,L,A,Yes,Auditory,Introvert,Medium,High,Yes,Some,Neutral,HighSchool,Yes,Inactive,Adequate,Negative,Yes,4,80,18,22
F,fr,France,preschool,G-04,B,History,F,Guardian,Yes,Good,Under-7,M,E,Yes,Kinesthetic,Extrovert,Medium,Low,No,None,Positive,PhD,Yes,Inactive,Insufficient,Positive,Yes,99,75,3,16
F,ind,France,middlelevel,G-07,B,English,F,Guardian,No,Good,Above-7,H,C,Yes,Auditory,Extrovert,High,Low,Yes,Some,Negative,Master,Yes,Moderate,Insufficient,Positive,Yes,81,71,8,29
M,uk,Saudi Arabia,highlevel,G-05,D,Science,F,Guardian,Yes,Good,Above-7,M,E,No,Auditory,Introvert,Low,High,No,None,Positive,PhD,Yes,Inactive,Adequate,Negative,Yes,12,43,0,9
M,saudi,Saudi Arabia,lowerlevel,G-05,E,Science,F,Father,No,Good,Above-7,H,B,No,Kinesthetic,Extrovert,Medium,High,No,Many,Neutral,HighSchool,No,Active,Adequate,Positive,Yes,49,79,0,1
M,cn,UK,preschool,G-05,A,History,S,Mother,No,Bad,Above-7,H,E,No,Auditory,Extrovert,Medium,Medium,Yes,None,Neutral,HighSchool,No,Active,Insufficient,Positive,No,50,65,2,17
M,uk,France,highlevel,G-07,B,IT,S,Mother,No,Good,Under-7,M,D,No,Auditory,Extrovert,Medium,Medium,No,None,Neutral,PhD,Yes,Inactive,Adequate,Neutral,No,81,78,10,28
F,cn,USA,lowerlevel,G-05,C,History,S,Father,No,Bad,Above-7,M,B,Yes,Visual,Introvert,Medium,High,Yes,Some,Positive,Bachelor,No,Moderate,Insufficient,Neutral,No,42,49,16,46
F,us,China,highlevel,G-07,A,Math,F,Guardian,Yes,Good,Above-7,M,B,No,Auditory,Introvert,Low,Medium,No,None,Positive,PhD,No,Moderate,Insufficient,Positive,Yes,94,25,14,27
F,cn,China,middlelevel,G-05,C,Science,F,Mother,No,Bad,Above-7,M,C,Yes,Visual,Introvert,Medium,Medium,Yes,None,Neutral,HighSchool,Yes,Active,Adequate,Neutral,Yes,30,65,6,47
F,us,India,preschool,G-04,B,Math,S,Mother,No,Good,Above-7,M,B,No,Visual,Introvert,High,High,Yes,None,Neutral,Master,No,Moderate,Insufficient,Neutral,Yes,79,7,19,42
F,ind,France,lowerlevel,G-07,A,English,S,Guardian,No,Good,Under-7,L,D,Yes,Auditory,Introvert,High,Low,Yes,Some,Negative,HighSchool,Yes,Inactive,Adequate,Positive,Yes,67,74,14,31
F,saudi,Saudi Arabia,lowerlevel,G-07,B,IT,S,Mother,Yes,Bad,Above-7,L,D,No,Visual,Introvert,High,Medium,Yes,None,Neutral,Bachelor,Yes,Inactive,Adequate,Negative,Yes,61,22,9,17
M,uk,China,lowerlevel,G-04,D,Math,F,Father,Yes,Bad,Above-7,L,A,No,Visual,Introvert,High,Low,No,Many,Neutral,HighSchool,No,Active,Adequate,Neutral,Yes,92,96,8,0
M,us,USA,lowerlevel,G-04,D,Math,F,Guardian,No,Bad,Above-7,H,C,Yes,Auditory,Introvert,Medium,High,No,None,Positive,Bachelor,No,Active,Adequate,Negative,Yes,97,94,18,38
M,us,India,preschool,G-07,C,Science,S,Guardian,Yes,Bad,Above-7,M,E,Yes,Auditory,Extrovert,High,High,Yes,None,Negative,PhD,No,Active,Adequate,Neutral,No,37,29,5,44
M,ind,China,preschool,G-05,D,IT,F,Father,No,Good,Above-7,L,E,Yes,Kinesthetic,Extrovert,Medium,Low,Yes,Many,Neutral,Bachelor,No,Inactive,Insufficient,Negative,Yes,99,50,8,47
F,us,India,preschool,G-04,A,History,S,Mother,No,Good,Under-7,H,D,No,Visual,Introvert,Medium,Low,Yes,Some,Neutral,Master,Yes,Moderate,Adequate,Negative,Yes,10,18,17,38
F,us,Saudi Arabia,middlelevel,G-07,A,History,F,Mother,Yes,Good,Above-7,M,B,No,Auditory,Extrovert,High,Medium,No,None,Neutral,Bachelor,Yes,Active,Insufficient,Negative,No,7,46,10,50
F,us,USA,preschool,G-07,D,IT,S,Mother,No,Good,Above-7,L,C,No,Visual,Extrovert,Medium,Medium,Yes,Some,Neutral,PhD,No,Moderate,Adequate,Neutral,No,76,97,19,24
F,ind,USA,preschool,G-06,B,History,F,Mother,No,Bad,Under-7,L,B,No,Kinesthetic,Extrovert,Low,Low,No,Some,Negative,Master,Yes,Active,Adequate,Negative,Yes,58,15,8,44
F,fr,USA,middlelevel,G-04,B,Math,F,Guardian,No,Bad,Under-7,H,C,Yes,Kinesthetic,Extrovert,High,Medium,Yes,None,Neutral,Bachelor,Yes,Inactive,Insufficient,Neutral,Yes,71,30,8,25
M,fr,UK,lowerlevel,G-04,A,Science,S,Mother,Yes,Bad,Above-7,H,E,Yes,Visual,Extrovert,Medium,Low,No,Many,Neutral,Bachelor,No,Inactive,Insufficient,Neutral,Yes,68,48,11,23
M,saudi,USA,preschool,G-05,D,Math,S,Guardian,No,Bad,Above-7,M,A,No,Visual,Extrovert,High,Low,Yes,Some,Neutral,PhD,No,Inactive,Insufficient,Negative,No,3,55,9,2
M,ind,France,middlelevel,G-05,C,Science,F,Mother,Yes,Good,Above-7,M,B,Yes,Visual,Introvert,High,Low,Yes,None,Positive,HighSchool,No,Inactive,Adequate,Positive,No,62,51,11,28
M,cn,India,lowerlevel,G-05,A,English,S,Mother,Yes,Good,Under-7,M,B,Yes,Auditory,Extrovert,Low,Medium,No,Many,Neutral,HighSchool,No,Inactive,Insufficient,Neutral,Yes,6,87,4,25
F,saudi,UK,preschool,G-05,C,IT,F,Mother,Yes,Bad,Under-7,L,D,No,Auditory,Introvert,Low,High,Yes,None,Negative,PhD,Yes,Moderate,Adequate,Neutral,No,70,33,4,15
M,uk,UK,lowerlevel,G-07,A,IT,F,Father,Yes,Bad,Above-7,L,B,No,Auditory,Introvert,Low,Medium,Yes,Some,Positive,Bachelor,No,Inactive,Insufficient,Positive,No,89,71,16,23
F,saudi,Saudi Arabia,preschool,G-05,D,Science,S,Mother,No,Good,Under-7,L,B,Yes,Visual,Introvert,High,Medium,Yes,Some,Positive,Bachelor,Yes,Moderate,Adequate,Negative,Yes,13,20,2,22
F,uk,USA,lowerlevel,G-07,B,IT,F,Mother,No,Bad,Under-7,H,C,No,Auditory,Extrovert,High,High,Yes,Some,Neutral,Master,Yes,Active,Adequate,Positive,No,74,83,6,16
M,uk,India,lowerlevel,G-06,B,History,F,Guardian,No,Good,Above-7,M,D,No,Auditory,Introvert,Medium,Low,No,None,Negative,Bachelor,No,Active,Insufficient,Positive,No,84,97,14,27
M,uk,UK,highlevel,G-05,E,English,S,Father,Yes,Good,Under-7,M,B,Yes,Auditory,Introvert,High,Medium,No,Some,Positive,Bachelor,Yes,Inactive,Insufficient,Negative,Yes,47,47,0,24
M,fr,USA,highlevel,G-06,B,English,S,Father,No,Good,Above-7,M,B,No,Auditory,Introvert,Medium,High,Yes,None,Positive,Bachelor,Yes,Active,Insufficient,Negative,No,64,55,16,29
F,ind,France,highlevel,G-05,E,Science,S,Mother,No,Good,Above-7,L,D,No,Kinesthetic,Introvert,High,Low,No,None,Positive,Bachelor,Yes,Active,Adequate,Positive,No,85,14,7,18
F,uk,India,preschool,G-06,E,English,F,Father,No,Bad,Above-7,L,E,Yes,Kinesthetic,Introvert,High,High,No,Some,Negative,Master,Yes,Active,Adequate,Neutral,No,88,47,7,34
F,ind,Saudi Arabia,middlelevel,G-07,C,Science,F,Guardian,No,Good,Above-7,M,D,No,Visual,Extrovert,High,Medium,Yes,Many,Neutral,PhD,No,Inactive,Adequate,Positive,Yes,89,90,6,24
F,cn,China,middlelevel,G-07,D,Math,F,Father,No,Bad,Under-7,H,C,No,Auditory,Introvert,High,Medium,Yes,Some,Neutral,Master,Yes,Moderate,Adequate,Positive,Yes,57,100,13,10
F,uk,France,lowerlevel,G-06,D,IT,S,Mother,No,Bad,Under-7,M,D,Yes,Visual,Extrovert,Low,High,No,Some,Negative,Master,No,Inactive,Insufficient,Negative,No,65,15,13,43
F,ind,UK,middlelevel,G-07,A,Science,S,Guardian,Yes,Good,Under-7,M,D,No,Visual,Extrovert,Low,Low,No,Many,Neutral,Master,No,Moderate,Insufficient,Negative,Yes,57,17,1,18
F,saudi,China,middlelevel,G-04,B,English,S,Father,Yes,Good,Above-7,H,D,Yes,Visual,Introvert,Low,Low,Yes,None,Neutral,Master,No,Moderate,Insufficient,Positive,Yes,11,63,2,49
M,ind,USA,preschool,G-07,B,History,F,Father,Yes,Bad,Above-7,M,B,No,Auditory,Extrovert,High,High,No,None,Neutral,PhD,No,Moderate,Adequate,Positive,Yes,34,31,12,38
F,cn,USA,middlelevel,G-04,C,History,S,Guardian,No,Good,Under-7,H,C,Yes,Auditory,Introvert,Medium,Medium,No,None,Negative,Master,Yes,Inactive,Adequate,Neutral,Yes,89,91,6,30
M,saudi,Saudi Arabia,highlevel,G-06,D,Math,F,Mother,No,Good,Under-7,H,A,Yes,Visual,Introvert,High,Medium,No,Many,Positive,HighSchool,No,Inactive,Adequate,Negative,Yes,42,80,8,24
F,fr,China,preschool,G-05,E,Science,F,Mother,Yes,Good,Above-7,L,A,Yes,Visual,Introvert,High,Low,Yes,None,Positive,PhD,Yes,Active,Insufficient,Negative,Yes,63,60,12,42
F,cn,France,highlevel,G-07,D,English,F,Guardian,No,Bad,Under-7,H,C,No,Kinesthetic,Introvert,Low,High,No,Many,Neutral,Master,No,Inactive,Adequate,Positive,No,73,100,4,31
F,ind,UK,preschool,G-05,B,History,F,Guardian,Yes,Bad,Above-7,L,A,Yes,Auditory,Extrovert,Medium,Medium,No,Some,Negative,HighSchool,No,Moderate,Adequate,Positive,No,0,8,19,3
M,uk,China,highlevel,G-04,E,IT,S,Guardian,No,Bad,Under-7,M,A,No,Visual,Extrovert,Medium,Medium,No,None,Negative,Master,Yes,Moderate,Adequate,Positive,Yes,99,24,16,49
F,cn,India,highlevel,G-04,D,Science,S,Guardian,Yes,Good,Under-7,L,E,Yes,Auditory,Extrovert,Medium,High,No,Many,Positive,HighSchool,No,Inactive,Insufficient,Negative,Yes,21,1,6,8
F,ind,India,preschool,G-07,D,Math,F,Mother,No,Bad,Above-7,L,C,Yes,Kinesthetic,Extrovert,Medium,Low,No,Many,Neutral,PhD,No,Inactive,Adequate,Negative,Yes,12,83,18,37
F,fr,UK,preschool,G-04,C,History,S,Father,No,Bad,Under-7,H,B,No,Auditory,Introvert,High,Medium,Yes,None,Neutral,PhD,Yes,Moderate,Adequate,Negative,Yes,90,56,4,33
F,cn,Saudi Arabia,highlevel,G-05,D,English,S,Father,No,Good,Under-7,M,A,Yes,Auditory,Introvert,Medium,High,No,Some,Positive,Master,No,Moderate,Insufficient,Neutral,Yes,53,73,5,4
F,ind,France,lowerlevel,G-06,E,English,F,Guardian,No,Good,Above-7,L,A,No,Visual,Introvert,Low,Medium,No,Some,Positive,PhD,Yes,Moderate,Insufficient,Negative,Yes,72,86,0,28
M,fr,India,highlevel,G-04,A,Math,F,Guardian,Yes,Bad,Under-7,M,D,No,Visual,Extrovert,Medium,Low,Yes,Many,Positive,PhD,No,Moderate,Adequate,Positive,No,34,57,18,40
F,saudi,China,preschool,G-05,D,English,S,Guardian,Yes,Bad,Above-7,H,E,Yes,Auditory,Extrovert,High,Low,Yes,Some,Neutral,HighSchool,Yes,Active,Adequate,Negative,Yes,56,5,15,39
F,ind,France,lowerlevel,G-05,C,IT,F,Father,Yes,Bad,Above-7,H,E,Yes,Kinesthetic,Extrovert,Medium,Low,Yes,None,Positive,HighSchool,Yes,Inactive,Insufficient,Positive,No,91,24,15,43
F,uk,China,preschool,G-05,A,Math,S,Guardian,Yes,Good,Under-7,L,E,No,Kinesthetic,Extrovert,High,Medium,No,Many,Neutral,PhD,Yes,Moderate,Adequate,Neutral,Yes,49,1,4,42
F,us,Saudi Arabia,preschool,G-04,E,Science,F,Father,Yes,Good,Above-7,M,D,Yes,Kinesthetic,Introvert,Low,High,No,Some,Positive,HighSchool,Yes,Moderate,Adequate,Negative,Yes,36,98,10,5
F,saudi,Saudi Arabia,lowerlevel,G-07,D,IT,F,Guardian,Yes,Bad,Under-7,M,A,No,Visual,Introvert,Low,Medium,No,Some,Negative,Master,Yes,Moderate,Adequate,Positive,No,37,44,14,43
F,us,China,preschool,G-04,C,Science,F,Mother,Yes,Good,Under-7,M,A,Yes,Kinesthetic,Introvert,Low,Medium,No,Many,Neutral,PhD,Yes,Moderate,Adequate,Positive,No,8,79,7,36
F,fr,China,highlevel,G-07,E,Math,S,Guardian,No,Good,Above-7,M,A,Yes,Kinesthetic,Introvert,High,High,Yes,None,Negative,HighSchool,No,Active,Insufficient,Positive,Yes,59,4,3,26
F,saudi,China,preschool,G-04,A,English,F,Guardian,No,Bad,Under-7,M,C,Yes,Visual,Introvert,Low,Low,Yes,Some,Positive,PhD,No,Active,Insufficient,Neutral,Yes,27,2,2,17
F,us,China,lowerlevel,G-05,A,IT,S,Father,Yes,Bad,Under-7,H,C,Yes,Visual,Introvert,Medium,Medium,No,None,Negative,PhD,No,Inactive,Insufficient,Neutral,No,83,87,4,15
M,fr,India,highlevel,G-05,D,Math,S,Mother,No,Bad,Under-7,H,D,Yes,Auditory,Introvert,High,Medium,No,Some,Positive,Bachelor,Yes,Inactive,Adequate,Neutral,Yes,24,67,15,28
F,fr,France,lowerlevel,G-05,E,Science,F,Mother,Yes,Good,Under-7,M,D,Yes,Kinesthetic,Extrovert,High,Low,No,Some,Neutral,HighSchool,Yes,Inactive,Insufficient,Neutral,Yes,12,10,13,30
M,fr,India,middlelevel,G-05,B,IT,S,Guardian,No,Good,Above-7,H,E,Yes,Kinesthetic,Introvert,Low,Low,Yes,Many,Negative,Bachelor,Yes,Inactive,Adequate,Positive,No,4,38,9,3
M,us,France,lowerlevel,G-06,E,History,S,Mother,Yes,Bad,Under-7,L,D,Yes,Visual,Introvert,Medium,Medium,Yes,Many,Negative,HighSchool,No,Moderate,Adequate,Negative,Yes,24,66,20,32
F,cn,France,lowerlevel,G-04,D,Math,F,Mother,No,Bad,Above-7,L,D,No,Kinesthetic,Introvert,High,Low,Yes,Many,Negative,Master,No,Active,Insufficient,Negative,No,69,89,20,10
F,ind,France,highlevel,G-05,D,English,F,Guardian,No,Good,Under-7,H,B,No,Kinesthetic,Introvert,High,Low,Yes,Many,Positive,Bachelor,No,Active,Insufficient,Negative,Yes,59,72,15,28
M,ind,Saudi Arabia,middlelevel,G-05,B,Science,S,Guardian,No,Good,Above-7,L,C,Yes,Auditory,Introvert,Low,Low,No,Many,Negative,PhD,Yes,Inactive,Adequate,Neutral,Yes,22,35,2,50
F,cn,France,middlelevel,G-07,B,Math,F,Mother,No,Bad,Above-7,M,D,No,Kinesthetic,Introvert,Medium,Medium,Yes,None,Neutral,Master,Yes,Inactive,Adequate,Neutral,Yes,39,67,19,44
M,cn,France,highlevel,G-07,E,English,S,Father,No,Bad,Above-7,L,E,Yes,Auditory,Introvert,Medium,Low,Yes,Some,Negative,Bachelor,Yes,Inactive,Insufficient,Neutral,No,100,76,5,30
M,saudi,France,middlelevel,G-04,C,English,F,Father,No,Bad,Under-7,L,D,No,Visual,Extrovert,Low,Low,Yes,Some,Negative,Bachelor,No,Active,Insufficient,Neutral,Yes,86,29,13,30
F,fr,France,preschool,G-07,B,History,F,Father,Yes,Good,Under-7,L,D,No,Kinesthetic,Extrovert,High,Low,No,Some,Negative,Bachelor,Yes,Active,Insufficient,Neutral,Yes,13,1,0,25
F,us,India,preschool,G-06,B,History,F,Mother,Yes,Bad,Under-7,H,C,Yes,Auditory,Extrovert,Medium,Low,Yes,Some,Neutral,PhD,No,Active,Insufficient,Neutral,Yes,82,59,4,50
F,ind,UK,lowerlevel,G-04,C,English,S,Mother,Yes,Bad,Under-7,M,E,Yes,Visual,Extrovert,High,Medium,Yes,None,Neutral,PhD,No,Inactive,Insufficient,Neutral,Yes,82,25,9,37
M,fr,France,lowerlevel,G-04,D,Science,F,Mother,Yes,Bad,Above-7,L,D,No,Visual,Introvert,High,Medium,Yes,None,Positive,HighSchool,No,Active,Insufficient,Negative,Yes,89,0,19,36
M,ind,China,lowerlevel,G-05,B,IT,F,Guardian,Yes,Bad,Above-7,L,A,No,Kinesthetic,Extrovert,High,High,Yes,None,Neutral,Master,No,Inactive,Adequate,Negative,No,39,9,15,45
F,uk,India,lowerlevel,G-07,A,English,F,Father,No,Bad,Under-7,H,E,Yes,Visual,Extrovert,High,Medium,No,None,Positive,PhD,No,Inactive,Insufficient,Negative,Yes,54,82,16,21
F,uk,China,lowerlevel,G-05,C,IT,F,Father,No,Bad,Above-7,M,A,No,Auditory,Introvert,Medium,Low,No,Some,Neutral,Master,Yes,Active,Insufficient,Neutral,No,48,64,0,32
F,uk,India,lowerlevel,G-06,E,IT,S,Father,Yes,Good,Above-7,H,D,No,Visual,Extrovert,Medium,Medium,Yes,Many,Neutral,Bachelor,Yes,Inactive,Insufficient,Negative,No,11,13,4,49
F,uk,Saudi Arabia,highlevel,G-05,E,IT,S,Guardian,Yes,Bad,Under-7,H,B,Yes,Auditory,Introvert,Medium,High,Yes,Some,Neutral,Master,No,Active,Adequate,Neutral,Yes,35,3,0,6
M,ind,China,middlelevel,G-05,C,English,S,Father,No,Good,Under-7,H,E,Yes,Visual,Introvert,Medium,Medium,No,Some,Negative,Bachelor,No,Moderate,Adequate,Positive,Yes,56,61,14,30
M,fr,USA,preschool,G-07,C,English,S,Mother,No,Good,Above-7,H,D,No,Visual,Introvert,High,High,No,Many,Neutral,Master,Yes,Inactive,Adequate,Neutral,Yes,31,7,6,19
M,uk,UK,preschool,G-05,B,English,F,Father,Yes,Bad,Above-7,H,E,Yes,Visual,Extrovert,Medium,High,Yes,None,Negative,HighSchool,Yes,Active,Adequate,Neutral,Yes,37,100,12,13
F,saudi,India,preschool,G-07,E,IT,F,Father,No,Good,Above-7,H,A,No,Auditory,Extrovert,Low,Low,Yes,Many,Negative,Bachelor,Yes,Inactive,Insufficient,Positive,No,42,25,19,31
M,fr,UK,highlevel,G-07,D,History,F,Father,Yes,Good,Above-7,M,B,No,Visual,Introvert,Low,High,No,None,Positive,HighSchool,No,Inactive,Adequate,Neutral,No,32,32,0,30
F,us,China,middlelevel,G-06,D,Science,F,Guardian,No,Good,Above-7,H,E,No,Auditory,Introvert,Medium,High,No,Some,Negative,PhD,No,Active,Insufficient,Neutral,No,96,63,16,40
M,us,USA,middlelevel,G-04,C,Math,S,Guardian,Yes,Good,Under-7,L,C,Yes,Kinesthetic,Extrovert,Medium,High,No,Some,Neutral,PhD,Yes,Active,Adequate,Neutral,Yes,58,45,13,31
M,cn,China,highlevel,G-06,A,Science,S,Father,No,Good,Under-7,M,B,Yes,Visual,Introvert,Low,Low,Yes,None,Positive,HighSchool,Yes,Moderate,Insufficient,Negative,Yes,59,51,19,44
F,ind,India,highlevel,G-04,C,English,F,Guardian,Yes,Good,Under-7,M,C,No,Auditory,Introvert,Low,Low,No,Many,Negative,Bachelor,No,Active,Adequate,Positive,Yes,90,52,2,3
M,us,USA,middlelevel,G-07,A,IT,F,Guardian,Yes,Bad,Under-7,H,C,Yes,Visual,Extrovert,Medium,High,Yes,None,Positive,Master,Yes,Moderate,Insufficient,Neutral,No,18,81,1,2
M,us,USA,highlevel,G-07,B,Science,F,Guardian,No,Bad,Under-7,L,A,Yes,Kinesthetic,Extrovert,Low,Low,No,Many,Negative,Bachelor,Yes,Inactive,Adequate,Negative,Yes,35,74,5,19
F,us,China,middlelevel,G-07,A,Science,S,Father,Yes,Good,Above-7,H,E,No,Auditory,Introvert,Medium,High,Yes,Many,Neutral,PhD,No,Inactive,Adequate,Neutral,No,100,58,11,15
M,uk,China,preschool,G-05,B,Math,S,Mother,Yes,Bad,Above-7,L,C,Yes,Visual,Extrovert,High,Medium,No,Many,Positive,HighSchool,No,Active,Insufficient,Positive,Yes,65,64,0,25
M,fr,China,lowerlevel,G-07,D,Math,S,Guardian,Yes,Bad,Above-7,M,E,Yes,Kinesthetic,Extrovert,High,High,Yes,Some,Positive,Master,No,Inactive,Insufficient,Positive,No,84,28,8,28
F,fr,India,lowerlevel,G-05,A,English,F,Guardian,Yes,Good,Above-7,M,C,Yes,Visual,Introvert,Medium,Medium,No,None,Positive,PhD,Yes,Active,Adequate,Neutral,No,26,69,14,45
M,uk,Saudi Arabia,lowerlevel,G-06,A,History,S,Guardian,No,Bad,Under-7,H,E,No,Visual,Extrovert,Medium,Medium,No,Many,Positive,Master,No,Active,Insufficient,Positive,Yes,22,82,0,31
F,ind,USA,middlelevel,G-07,D,English,F,Guardian,No,Bad,Above-7,M,D,Yes,Kinesthetic,Extrovert,High,High,No,Many,Positive,HighSchool,Yes,Inactive,Insufficient,Positive,Yes,98,100,15,5
M,cn,UK,highlevel,G-07,E,English,F,Father,Yes,Good,Under-7,M,A,No,Kinesthetic,Extrovert,Medium,High,Yes,Some,Neutral,Bachelor,Yes,Inactive,Insufficient,Negative,No,54,14,15,8
F,uk,Saudi Arabia,middlelevel,G-06,D,Science,F,Guardian,Yes,Bad,Above-7,L,C,No,Visual,Introvert,High,Medium,No,None,Negative,Bachelor,No,Inactive,Adequate,Negative,No,43,44,10,29
F,cn,Saudi Arabia,preschool,G-07,E,History,S,Guardian,No,Bad,Above-7,H,C,Yes,Visual,Introvert,Medium,Medium,No,None,Positive,Bachelor,No,Moderate,Adequate,Positive,No,26,3,14,45
F,uk,UK,preschool,G-07,D,Science,F,Guardian,Yes,Good,Under-7,M,B,No,Kinesthetic,Introvert,High,High,No,Some,Negative,PhD,Yes,Inactive,Adequate,Positive,Yes,84,27,6,42
